% ground data set
@relation ground
@attribute H real
@attribute S real
@attribute V real
@attribute class {0, 1}
@data
0.230159, 0.338710, 0.243137, 1
0.257310, 0.558824, 0.400000, 0
0.700000, 0.138889, 0.141176, 1
0.284615, 0.537190, 0.474510, 0
0.265625, 0.444444, 0.282353, 0
0.343137, 0.303571, 0.219608, 1
0.280864, 0.529412, 0.400000, 0
0.331790, 0.423529, 1.000000, 1
0.500000, 0.166667, 0.141176, 1
0.263158, 0.463415, 0.321569, 1
0.432292, 0.551724, 0.227451, 1
0.196970, 0.261905, 0.164706, 0
0.277778, 0.525773, 0.380392, 0
0.020408, 0.590361, 0.325490, 0
0.276423, 0.476744, 0.337255, 0
0.422222, 0.326087, 0.180392, 1
0.388889, 0.436364, 0.215686, 1
0.256410, 0.412698, 0.247059, 1
0.266667, 0.537634, 0.364706, 0
0.267241, 0.563107, 0.403922, 0
0.371795, 0.270833, 0.188235, 1
0.282051, 0.400000, 0.254902, 1
0.500000, 0.237288, 0.231373, 1
0.270202, 0.600000, 0.431373, 1
0.029167, 0.540541, 0.290196, 0
0.270833, 0.549020, 0.400000, 0
0.046667, 0.609756, 0.321569, 0
0.121622, 0.544118, 0.266667, 0
0.265625, 0.438356, 0.286275, 0
0.312500, 0.177778, 0.176471, 1
0.257813, 0.566372, 0.443137, 1
0.252874, 0.453125, 0.250980, 0
0.388889, 0.157895, 0.149020, 1
0.864583, 0.066390, 0.945098, 1
0.240741, 0.507042, 0.278431, 0
0.444444, 0.142857, 0.164706, 1
0.025362, 0.582278, 0.309804, 0
0.303922, 0.265625, 0.250980, 0
0.983660, 0.671053, 0.298039, 1
0.256039, 0.610619, 0.443137, 0
0.270440, 0.552083, 0.376471, 0
0.287037, 0.290323, 0.243137, 0
0.260417, 0.576577, 0.435294, 0
0.204545, 0.372881, 0.231373, 0
0.259259, 0.540000, 0.392157, 0
0.270833, 0.533333, 0.294118, 1
0.638889, 0.166667, 0.141176, 1
0.010101, 0.507692, 0.254902, 1
0.910714, 0.112000, 0.980392, 1
0.123656, 0.462687, 0.262745, 0
0.252778, 0.550459, 0.427451, 0
0.217054, 0.544304, 0.309804, 0
0.053333, 0.431034, 0.227451, 1
0.265027, 0.575472, 0.415686, 0
0.267241, 0.542056, 0.419608, 0
0.500000, 0.157895, 0.149020, 1
0.222222, 0.514286, 0.274510, 1
0.409091, 0.255814, 0.168627, 1
0.260417, 0.571429, 0.439216, 0
0.274691, 0.529412, 0.400000, 0
0.266667, 0.535714, 0.329412, 0
0.277778, 0.506494, 0.301961, 1
0.275510, 0.532609, 0.360784, 0
0.028571, 0.530303, 0.258824, 1
0.294574, 0.447917, 0.376471, 1
0.237374, 0.440000, 0.294118, 0
0.280000, 0.520833, 0.376471, 0
0.337398, 0.401961, 0.400000, 1
0.267241, 0.557692, 0.407843, 0
0.267241, 0.552381, 0.411765, 0
0.175000, 0.563380, 0.278431, 1
0.263158, 0.520548, 0.286275, 0
0.274510, 0.250000, 0.266667, 1
0.266667, 0.520833, 0.376471, 0
0.271318, 0.483146, 0.349020, 0
0.278607, 0.592920, 0.443137, 0
0.638889, 0.391304, 0.180392, 1
0.291667, 0.415584, 0.301961, 0
0.266667, 0.500000, 0.352941, 0
0.276515, 0.494382, 0.349020, 0
0.219298, 0.493506, 0.301961, 0
0.366667, 0.238095, 0.164706, 1
0.245614, 0.457831, 0.325490, 0
0.266667, 0.539216, 0.400000, 0
0.351852, 0.327273, 0.215686, 1
0.500000, 0.150000, 0.156863, 1
0.218391, 0.597938, 0.380392, 1
0.481481, 0.225000, 0.156863, 1
0.515152, 0.255814, 0.168627, 1
0.271318, 0.500000, 0.337255, 0
0.416667, 0.055556, 0.141176, 1
0.195652, 0.418182, 0.215686, 0
0.271318, 0.500000, 0.337255, 0
0.255556, 0.227273, 0.258824, 1
0.294574, 0.488636, 0.345098, 0
0.268116, 0.348485, 0.258824, 0
0.209040, 0.567308, 0.407843, 1
0.666667, 0.205128, 0.152941, 1
0.269841, 0.594340, 0.415686, 0
0.395833, 0.326531, 0.192157, 1
0.269841, 0.583333, 0.423529, 0
0.273504, 0.469880, 0.325490, 0
0.277778, 0.560748, 0.419608, 0
0.265432, 0.415385, 0.254902, 0
0.275000, 0.363636, 0.215686, 1
0.444444, 0.272727, 0.172549, 1
0.276423, 0.465909, 0.345098, 0
0.357143, 0.336538, 0.407843, 1
0.410256, 0.282609, 0.180392, 1
0.284091, 0.483516, 0.356863, 0
0.274691, 0.529412, 0.400000, 0
0.261905, 0.550562, 0.349020, 0
0.266667, 0.544554, 0.396078, 0
0.252874, 0.391892, 0.290196, 0
0.224806, 0.537500, 0.313725, 1
0.273333, 0.531915, 0.368627, 0
0.166667, 0.177778, 0.176471, 0
0.250000, 0.500000, 0.203922, 0
0.285714, 0.184211, 0.149020, 0
0.279570, 0.413333, 0.294118, 1
0.205882, 0.346939, 0.192157, 0
0.200980, 0.346939, 0.384314, 1
